from_set 	arg_id	Marriage between two people of the same gender  	is_same_side	argument1	argument2
train	1	NEG	FALSE	being unaccustomed to gay marriage is no argument	being unaccustomed to gay marriage is a fair argument
train	1	CON	TRUE	being unaccustomed to gay marriage is no argument	if you are used to gay marriage or not is not important
train	1	CON-NEG	FALSE	being unaccustomed to gay marriage is no argument	I never got used to gay marriage. This is my point. 
train	1	DIFF	TRUE	being unaccustomed to gay marriage is no argument	raising kids in a same sex marriage is not problem at all to them.
train	1	DIFF-NEG	FALSE	being unaccustomed to gay marriage is no argument	raising kids in a same sex marriage is a danger for their psychological well-being.
train	1	CIT	TRUE	being unaccustomed to gay marriage is no argument	I agree that being unaccustomed to gay marriage is no argument
train	1	CIT-NEG	FALSE	being unaccustomed to gay marriage is no argument	Of course, being unaccustomed to gay marriage is an argument
train 	2	NEG	FALSE	same-sex parents in adoption cannot raise children as well as the biological parents.	same-sex parents in adoption can raise children as well as the biological parents.
train 	2	CON	TRUE	same-sex parents in adoption cannot raise children as well as the biological parents.	homosexual couples cannot raise adopted children as well as the biological parents.
train 	2	CON-NEG	FALSE	same-sex parents in adoption cannot raise children as well as the biological parents.	of course, homosexual couples can raise adopted children equally well as the biological parents
train 	2	DIFF	TRUE	same-sex parents in adoption cannot raise children as well as the biological parents.	same-sex couples cannot have children on their own, so they should not have the same rights as heterosexual couples. 
train 	2	DIFF-NEG	FALSE	same-sex parents in adoption cannot raise children as well as the biological parents.	since same-sex couples cannot have children on their own, they should be allowd to adopt children. 
train 	2	CIT	TRUE	same-sex parents in adoption cannot raise children as well as the biological parents.	The previous statement claims that same-sex parents in adoption cannot raise children as well as the biological parents. I absolutely agree.
train 	2	CIT-NEG	FALSE	same-sex parents in adoption cannot raise children as well as the biological parents.	My opponent states that same-sex parents in adoption cannot raise children as well as the biological parents. I absolutely disagree.
train 	3	NEG	FALSE	Gay marriage does not physically harm other people.	Gay marriage is a physical harm to other people.
train 	3	CON	TRUE	Gay marriage does not physically harm other people.	The right of homosexuals to marry does not pose any harm to other people.
train 	3	CON-NEG	FALSE	Gay marriage does not physically harm other people.	The right of homosexuals to marry does not poses a physical risk to others, especially children of those relationships.
train 	3	DIFF	TRUE	Gay marriage does not physically harm other people.	Homosexual couples should have the same right to marry as heterosexuals if they truly love each other.
train 	3	DIFF-NEG	FALSE	Gay marriage does not physically harm other people.	Homosexual couples not should have the same right to marry as heterosexuals. It's against God's will.
train 	3	CIT	TRUE	Gay marriage does not physically harm other people.	It is proably true that they say: Gay marriage does not harm other people.
train 	3	CIT-NEG	FALSE	Gay marriage does not physically harm other people.	Although they argue gay marriage does not harm other people, I believe this is not true.
train 	4	NEG	FALSE	The gay marriage ban goes against human rights.	Banning gay marriage is not a violation of the human rights.
train 	4	CON	TRUE	The gay marriage ban goes against human rights.	Basic rights, including the right to marry, apply to homosexual couples, too
train 	4	CON-NEG	FALSE	The gay marriage ban goes against human rights.	Denying gays the right to marry does not violate their human rights.
train 	4	DIFF	TRUE	The gay marriage ban goes against human rights.	Denying gays the right to adopt children violates their human rights.
train 	4	DIFF-NEG	FALSE	The gay marriage ban goes against human rights.	Denying gays the right to adopt children does not violate their human rights.
train 	4	CIT	TRUE	The gay marriage ban goes against human rights.	Some say banning gay marriage goes against their human rights. And it sure is.
train 	4	CIT-NEG	FALSE	The gay marriage ban goes against human rights.	Some say banning gay marriage goes against their human rights. But it is not.
train 	5	NEG	FALSE	By not allowing gay marriage, the privilege of eternal love is taken away.	Not allowing gay marriage does not take away the privilege of the eternal love.
train 	5	CON	TRUE	By not allowing gay marriage, the privilege of eternal love is taken away.	The ban on homosexual marriage abolishes the official promise of eternal love.
train 	5	CON-NEG	FALSE	By not allowing gay marriage, the privilege of eternal love is taken away.	The ban on homosexual marriage does not abolish any official promise of eternal love.
train 	5	DIFF	TRUE	By not allowing gay marriage, the privilege of eternal love is taken away.	The right of homosexuals to marry does not affect heterosexual marriage in any way.
